特征,特征重要性值
nT10Ring,0.00021186800754261886
nHCsats,0.00020362416409247527
maxHssNH,0.0002031161479934118
nHBDon_Lipinski,0.00018803723339607002
n5Ring,0.00018795758298385744
nF10Ring,0.0001839223251534389
C2SP3,0.00017531579758255303
nF9Ring,0.00017280822731674915
nHBint5,0.00016989237461903134
mindS,0.00016912097255533968
minHAvin,0.00016632208629655426
nF12Ring,0.000165199315934585
nHdsCH,0.00016443257207251273
nFRing,0.00015742123389381237
nHBint7,0.0001573254207148224
naaCH,0.0001530212005759142
nO,0.0001520782607854675
nHBint3,0.00015172182986268785
n7Ring,0.000148365085478729
SHAvin,0.00014645869410096095
maxaaNH,0.0001452793304827783
maxaaO,0.0001428781458327435
minaaNH,0.00013943394419220338
ndsCH,0.00013472920231633688
naAromAtom,0.00013360243284043285
ETA_Beta_ns_d,0.00012960479027046247
maxHaaNH,0.00012553200330901574
MDEN-22,0.00012088750226026483
nHBAcc3,0.00011059269561208202
nBonds,0.00010357291070239254
nHeavyAtom,0.0001012808278530363
SaaNH,0.00010041864838817345
naaN,9.910219501141079e-05
maxaasN,9.818853450139977e-05
SssNH,9.690762852985207e-05
minaasN,9.160619095678046e-05
nHBint4,9.02579374828268e-05
nssO,8.759574329200395e-05
nF11Ring,8.547958097680777e-05
minaaO,8.332726158503043e-05
nHBa,8.153835104955869e-05
nsOH,8.146730673638465e-05
SsBr,7.91815857505774e-05
VAdjMat,7.702360008329779e-05
nsCH3,7.65745435321526e-05
SaasN,7.63844064715692e-05
naaaC,6.911031248602187e-05
MDEN-33,6.841546324222206e-05
minsBr,6.743793559557639e-05
nF,6.637139185110204e-05
C3SP3,6.443111048327378e-05
nHBint2,6.389367709794693e-05
ndO,6.182398783300805e-05
nS,5.986011465748902e-05
nsssN,5.663698542156971e-05
n4Ring,5.095525147492715e-05
minddssS,5.016104223278683e-05
mintsC,4.770798329039615e-05
minHCHnX,4.697641826579769e-05
nT5Ring,4.680007664085568e-05
SC-6,4.530526231767709e-05
naaO,4.108007844224635e-05
VCH-4,4.076937445010512e-05
SwHBd,4.0724624978710106e-05
ntsC,4.058119133616232e-05
maxtsC,3.996400307713653e-05
ETA_dAlpha_A,3.965161062050838e-05
nHBDon,3.9129901251330494e-05
minHdCH2,3.649944490649787e-05
nHCsatu,3.5916220134588624e-05
maxsCl,3.231767382068514e-05
maxdCH2,3.204970078787745e-05
nHsOH,3.174776589158241e-05
nRing,3.172273483869281e-05
maxHdCH2,3.1364556208245274e-05
SHdCH2,3.1102776997701464e-05
MDEC-44,2.890637582207085e-05
C2SP1,2.814626334581358e-05
SsCl,2.7703981201236775e-05
maxsBr,2.661787781169035e-05
maxtN,2.5490879890847725e-05
nHssNH,2.485557518265942e-05
SCH-4,2.4184704237440777e-05
LipinskiFailures,2.2971922018797585e-05
MDEN-12,2.2174079310274255e-05
SddssS,2.109859443664641e-05
nsF,2.021991655614255e-05
SHdNH,2.0213450963338152e-05
minsCl,1.8254879121981248e-05
SHtCH,1.52900547195852e-05
maxssssC,1.5194614634686705e-05
C1SP1,1.3619042892486422e-05
nHaaNH,1.2729359079644289e-05
nAcid,1.2415798001999028e-05
nwHBd,1.2214508021478028e-05
nBr,1.1504130995184623e-05
StsC,1.0334264826073356e-05
nssssC,9.733177185308026e-06
nsCl,9.358073021845487e-06
nsBr,8.157810996022095e-06
ndS,7.890525638165897e-06
nCl,6.70989318842293e-06
MDEN-11,6.3901725823135005e-06
ndCH2,6.248503008819214e-06
maxHtCH,5.976524146872306e-06
minHsNH2,5.8786757254360476e-06
nssNH,5.849344257146014e-06
naaNH,5.771665959518596e-06
nHAvin,5.397499798511342e-06
nT7Ring,5.120009641419171e-06
nT8Ring,5.028601330053188e-06
nT11Ring,4.846103550097609e-06
StN,4.534154091014186e-06
maxtCH,4.4271550909577445e-06
naasN,4.326681524399442e-06
nsOm,3.7813403323579065e-06
SHCHnX,3.2668061512105984e-06
mintN,3.254193784938112e-06
maxwHBd,3.176243540625538e-06
nHtCH,3.0453884539095e-06
minHdNH,2.845344521704621e-06
MDEN-13,2.6955877503632767e-06
nBondsT,2.495857287716042e-06
mindCH2,2.373422584285385e-06
StCH,2.337091950619154e-06
nddssS,2.3101883610828965e-06
naaS,2.207075668206896e-06
SsOm,1.986094126819537e-06
minwHBd,1.9198856731391138e-06
SdCH2,1.7672577070509478e-06
nF8Ring,1.5274368342359334e-06
maxHsNH2,1.5232904466298575e-06
nsNH2,1.493136494878151e-06
nHCHnX,1.366216615339411e-06
SdNH,1.3582344771064968e-06
ntN,1.1689025411835897e-06
SsI,1.1126513410312171e-06
mindNH,9.695700259431003e-07
minsNH2,9.35920145483418e-07
nHdCH2,9.095000555377992e-07
SHsNH2,9.051324947413259e-07
maxdNH,8.752365534932025e-07
ndsN,8.194667982405222e-07
nF6Ring,6.951552429797079e-07
maxsNH2,6.640533923303957e-07
SsNH2,6.477967298898261e-07
nI,4.82732888617975e-07
nT4Ring,4.6272828796859466e-07
nHsNH2,4.6089489374235075e-07
minssssNp,4.0724795258360875e-07
n3Ring,3.814692045066412e-07
maxHCHnX,3.812822565803832e-07
mintCH,3.751783891576657e-07
maxsOm,3.4673887012909277e-07
SCH-3,3.119715279606178e-07
ndNH,2.541427554155938e-07
minsOm,2.49977531747049e-07
minsI,2.0028209375080213e-07
nsSH,1.4365890608210617e-07
ntCH,1.3341171850576153e-07
nF7Ring,1.2531551552315036e-07
minHtCH,6.42138813889309e-08
nHdNH,5.8670956996563375e-08
SsSH,4.9916135889765225e-08
minHsSH,2.273348590765423e-08
nP,2.020823784933069e-08
SHsSH,1.3196428444376938e-08
nsI,2.568272763180795e-09
minsSH,2.1687735876896906e-09
nG12Ring,5.808686573780471e-10
n8Ring,2.449776056898484e-10
ndsssP,3.3956386379104946e-11
VCH-3,2.642524062576989e-11
ETA_dPsi_B,2.156739261108741e-13
SdssS,0.0
n12Ring,0.0
nHsSH,0.0
SssssNp,0.0
mindsssP,0.0
maxHdNH,0.0
maxHsSH,0.0
maxsSH,0.0
mindssS,0.0
maxssssNp,0.0
ndssS,0.0
nssssNp,0.0
SdsssP,0.0
